% place,type,Costs,latitude,longitude
Basingstoke,Town,25611,51.26249,-1.08708
Bath,City,21757,51.37795,-2.35907
Bedford,Town,20020,52.13459,-0.46632
Birkenhead,Town,19713,53.39337,-3.01479
Cambridge,City,25148,52.2,0.11667
Chelmsford,City,25976,51.73575,0.46958
Cheltenham,Town,22946,51.9,-2.08333
Chesterfield,Town,20514,53.25,-1.41667
Colchester,Town,22259,51.88921,0.90421
Crawley,Town,22803,51.11303,-0.18312
Darlington,Town,19133,54.52429,-1.55039
Eastbourne,Town,18512,50.76871,0.28453
Exeter,City,19609,50.7236,-3.52751
Gateshead,Town,19126,54.96209,-1.60168
Gloucester,City,18684,51.86568,-2.2431
Halifax,Town,18788,53.71667,-1.85
Hartlepool,Town,20038,54.68611,-1.2125
Hemel Hempstead,Town,22652,51.75369,-0.47517
Huddersfield,Town,17666,53.64904,-1.78416
Ipswich,Town,17869,52.05917,1.15545
Lincoln,City,18142,53.22683,-0.53792
Nuneaton,Town,20707,52.52323,-1.46523
Peterborough,City,19659,52.57364,-0.24777
Poole,Town,20297,50.71667,-2
Rochdale,Town,19864,53.61766,-2.1552
Slough,Town,23547,51.50949,-0.59541
Solihull,Town,26343,52.41426,-1.78094
Stevenage,Town,24009,51.90224,-0.20256
Stockport,Town,22787,53.40979,-2.15761
Sutton Coldfield,Town,26902,52.56667,-1.81667
Telford,Town,18364,52.67659,-2.44926
Wakefield,City,19187,53.68331,-1.49768
Watford,Town,27401,51.65531,-0.39602
Weston-Super-Mare,Town,21841,51.34603,-2.97665
Wigan,Town,19367,53.53333,-2.61667
Woking,Town,24861,51.31903,-0.55893
Worcester,City,21119,52.18935,-2.22001